Name,Dissemination Area ID,"# Households in PRIZM Segment 3: Arts & Affluence, 2019","% Households in PRIZM Segment 3: Arts & Affluence, 2019","# Basics | Total Population, 2021","Households by Income (Current Year) | Median Household Income (Current Year $), 2021","% Household Population 25 to 64 Years by Educational Attainment | Household Population 25 To 64 Years | University Certificate, Diploma Or Degree At Bachelor Level Or Above, 2021","# Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population of Adults (Age 25-64) in PRIZM Segment 3: Arts & Affluence, 2019","# Total Population in PRIZM Segment 3: Arts & Affluence, 2019","% Total Population in PRIZM Segment 3: Arts & Affluence, 2019"
"DA2125, Toronto, ON",35202125,134,47.52%,802,"$93,667.85 ",43.90%,265,60.50%,486,60.60%
"DA3183, Toronto, ON",35203183,153,57.30%,577,"$115,880.07 ",59.44%,196,59.04%,334,57.19%
"DA2804, Toronto, ON",35202804,327,56.28%,"1,039","$190,870.01 ",73.47%,355,58.97%,609,59.41%
"DA2255, Toronto, ON",35202255,105,51.22%,520,"$185,864.12 ",78.83%,189,58.70%,326,60.82%
"DA2107, Toronto, ON",35202107,80,58.82%,367,"$137,282.99 ",58.54%,114,58.46%,215,61.25%
"DA4531, Toronto, ON",35204531,132,54.10%,574,"$103,313.99 ",70.43%,204,58.12%,331,57.57%
"DA2257, Toronto, ON",35202257,117,40.34%,601,"$55,077.24 ",62.45%,162,58.06%,363,58.74%
"DA2949, Toronto, ON",35202949,221,58.93%,736,"$111,533.73 ",65.25%,269,57.73%,430,57.26%
"DA0709, Toronto, ON",35200709,132,62.26%,539,"$116,779.19 ",58.54%,177,57.47%,342,60.42%
"DA3803, Toronto, ON",35203803,131,62.38%,537,"$131,686.99 ",71.15%,180,56.96%,322,60.53%
"DA3811, Toronto, ON",35203811,185,60.86%,729,"$143,262.08 ",75.67%,255,56.79%,451,59.11%
"DA4867, Toronto, ON",35204867,273,58.58%,770,"$93,477.10 ",70.55%,256,55.77%,443,57.91%
"DA1407, Toronto, ON",35201407,304,69.09%,858,"$104,412.36 ",57.59%,365,55.56%,482,55.85%
"DA4869, Toronto, ON",35204869,103,52.28%,339,"$216,369.29 ",74.67%,41,55.41%,177,53.15%
"DA0278, Vaughan, ON",35190278,73,56.15%,407,"$129,746.63 ",52.67%,142,55.25%,239,55.71%
"DA0708, Toronto, ON",35200708,119,58.62%,519,"$214,267.53 ",72.07%,173,54.75%,315,57.59%
"DA2615, Toronto, ON",35202615,81,52.26%,449,"$273,046.04 ",76.92%,130,54.39%,250,52.97%
"DA2689, Toronto, ON",35202689,120,53.81%,609,"$195,469.96 ",81.37%,180,53.25%,339,54.50%
"DA2571, Toronto, ON",35202571,136,45.03%,677,"$105,203.98 ",57.23%,194,53.15%,366,52.36%
"DA2303, Toronto, ON",35202303,69,46.62%,473,"$143,347.86 ",63.16%,131,52.82%,264,52.49%
"DA2891, Toronto, ON",35202891,108,43.20%,634,"$150,000.00 ",66.49%,198,52.66%,360,56.07%
"DA0341, Vaughan, ON",35190341,123,35.76%,944,"$90,535.93 ",43.63%,268,52.55%,460,47.72%
"DA4538, Toronto, ON",35204538,114,55.88%,554,"$169,936.17 ",61.41%,160,52.46%,307,54.92%
"DA3849, Toronto, ON",35203849,150,51.37%,600,"$213,875.26 ",79.59%,165,51.72%,313,49.84%
"DA3812, Toronto, ON",35203812,152,35.43%,910,"$70,058.15 ",54.37%,273,51.70%,449,48.33%
